11451.042041412808, 1226745.0625659581
11461.718679819047, 1277383.3312774966
11464.882128235711, 1333670.4905225935
11468.836438756542, 1370993.5172621738
11475.954197694036, 1413561.9423543438
11476.745059798202, 1453709.414360703
11480.699370319031, 1495067.362909968
11484.653680839861, 1548530.0768882856
11494.539457141937, 1600479.6951879717
11503.860331941036, 1662228.4093111772
11518.265320266917, 1705892.0274659756
11541.991183391896, 1724049.175609555
11563.73989125646, 1707707.7422803335
11573.625667558535, 1662768.800624974
11581.534288600196, 1626454.5043378146
11586.477176751234, 1582574.7296574973
11590.629202798105, 1534004.3583734217
11598.537823839764, 1486190.5349286622
11603.28299646476, 1437569.7271219657
11604.601099971704, 1392176.8567630167
11610.203039876213, 1349557.9951482257
11615.936790131416, 1307040.0065786766
11630.398268607594, 1272714.3503262904
11633.599377124458, 1251963.3238764852
11642.826101673061, 1294330.002878171
11647.571274298056, 1331854.7757082353
11653.107309027218, 1382694.7905102584
11658.643343756381, 1430054.6852514287
11658.643343756381, 1475901.4843139672
11664.574809537626, 1516250.7024108106
11675.251447943867, 1572134.369474939
11682.36920688136, 1629632.0052629411
11690.936879676492, 1663525.3484642897
11712.026535787585, 1689247.9750010276
11735.752398912566, 1677143.2095719746
11751.174209943802, 1638105.3410632783
11759.478262037544, 1595436.0429258663
11764.421150188582, 1552312.8160848645
11768.573176235454, 1505558.1596151472
11776.481797277114, 1461375.7657991033
11781.226969902109, 1417395.118073544
11782.545073409054, 1368976.0563573316
11788.147013313563, 1328374.6556473826
11793.880763568766, 1284646.1905349286
11802.975677766675, 1240362.9236736428
11806.929988287504, 1217162.1232679575
11820.77007511041, 1230779.9843756424
11821.560937214575, 1274357.1399202333
11830.260420360402, 1331854.7757082353
11832.633006672899, 1380576.456560174
11836.58731719373, 1442613.379384071
11842.518782974974, 1502632.841303126
11850.427404016635, 1543990.7898523905
11853.195421381215, 1586054.8497183502
11863.608439086067, 1644359.469868289
11873.494215388142, 1686221.7836437644
11889.970509224933, 1718501.1581212392
11913.696372349914, 1720014.2537998708
11930.925868190672, 1684708.6879651328
11939.399390735309, 1642342.008963447
11946.517149672803, 1598159.6151474032
11955.216632818629, 1548530.0768882856
11959.170943339459, 1503137.2065293365
11960.489046846402, 1458753.0666228086
11966.09098675091, 1414621.109329386
11971.033874901948, 1375028.4390718583
11976.965340683193, 1326105.0121294353
11989.322561060788, 1274659.7590559598
11996.341462235261, 1258620.9448624644
12008.20439379775, 1317934.2954648244
12012.554135370663, 1357880.0213806997
12015.322152735243, 1406299.083096912
12024.417066933152, 1465309.8145635459
12028.371377453983, 1515998.5197977056
12032.325687974813, 1554582.4596028123
12036.675429547726, 1596343.9003330453
12048.142930058133, 1647385.6612255522
12067.914482662283, 1686726.148869975
12091.640345787262, 1685213.0531913433
12108.869841628022, 1649691.3308310863
12119.320519433073, 1611626.1666872248
12125.251985214318, 1576774.529556076
12130.78801994348, 1537635.788002138
12136.1263391466, 1497084.82381481
12139.092072037223, 1457744.3361703875
12141.069227297638, 1419412.5789783862
12143.046382558052, 1386124.4740484902
12148.977848339298, 1342749.0645943834
12155.568365874014, 1304417.3074023817
12156.886469380957, 1266085.5502103805
12171.625263140415, 1229954.6594600251
12184.566643026767, 1247424.0368405902
12188.520953547597, 1330644.2991653304
12189.311815651763, 1295540.4794210764
12193.266126172593, 1374826.692981374
12201.965609318419, 1425666.7077833968
12204.338195630917, 1472875.2929567038
12210.269661412161, 1548530.0768882856
12210.269661412161, 1513728.876279758
12214.883023686463, 1586357.4688540765
12225.6914724434, 1642342.008963447
12236.537581300532, 1681682.4966078694
12253.767077141292, 1717996.7928950288
12278.481517896478, 1713079.231939476
12294.722436107031, 1676062.4269443806
12305.173113912082, 1631750.3392130255
12311.104579693327, 1598966.59950934
12317.036045474571, 1548025.711662075
12320.990355995402, 1490275.8932609677
12326.921821776647, 1445639.5707413345
12330.876132297477, 1407307.813549333
12334.830442818306, 1356366.925702068
12344.320788068298, 1299171.9090497922
12357.238202436343, 1261041.8979482749
12368.442082245361, 1294330.002878171
12372.396392766192, 1343757.7950468045
12379.909582755768, 1399036.2238394802
12384.259324328681, 1433534.8053122815
12387.027341693261, 1484980.0583857568
12392.563376422424, 1537635.788002138
12400.471997464083, 1585449.6114468975
12411.280446221019, 1642678.2524475874
12427.75674005781, 1688743.6097748172
12452.329955437253, 1686005.6271182455
12469.277000526525, 1654825.0483121579
12482.721656297348, 1611474.8571193616
12489.048553130675, 1571730.8772939707
12493.002863651505, 1522050.9025122318
12498.93432943275, 1468336.005920809
12504.865795213995, 1423447.5007880705
12508.820105734825, 1392176.8567630167
12511.785838625448, 1342749.0645943834
12515.740149146277, 1301895.481271329
12522.264761505647, 1259831.4214053699
12534.52312412022, 1224727.601661116
12548.363210943126, 1248937.1325192219
12550.34036620354, 1303912.9421761713
12557.260409614992, 1357880.0213806997
12560.226142505615, 1386628.8392747007
12562.20329776603, 1438074.0923481763
12568.92562565144, 1498295.3003577152
12576.043384588935, 1543234.242013075
12578.020539849349, 1589383.6602113396
12586.324591943092, 1635684.3879774678
12598.639444707964, 1681250.183556832
12617.56364505765, 1713457.5058591338
12641.28950818263, 1714970.6015377655
12658.519004023388, 1673036.2355871173
12666.992526568025, 1632254.704439236
12670.946837088853, 1589383.6602113396
12679.514509883986, 1537938.4071378643
12686.764079172173, 1489014.9801954413
12688.74123443259, 1448665.7620985978
12690.718389693004, 1407812.1787755436
12697.638433104457, 1366202.0476131737
12701.592743625286, 1323078.820772172
12712.961386372674, 1273676.2468648492
